,Probability_Home_win,Probability_Draw,Probability_Away_win,home_team,away_team,Pinnacle Closing Home Win Odds,Pinnacle Closing Draw Odds,Pinnacle Closing Away Win Odds,implied home win prob,implied draw prob,implied away win prob,Total_implied_probability,match_result,Correct_EV_Home_Win,Correct_EV_Draw,Correct_EV_Away_Win,Highest_EV_Bet,Highest_EV_Value,Best_Bet_Odds,Best_Bet_Type,Best_Bet_Outcome,Positive_EV_Outcomes,implied_match_result
20,0.750562534877295,0.1634315865963085,0.0860058785263964,arsenal,fulham,1.29,6.29,10.32,77.51937984496124,15.89825119236884,9.689922480620154,103.10755351795022,1,-0.3177433000828951,0.2798467969078047,-1.1241933360758907,Correct_EV_Draw,0.2798467969078047,,No Bet,0.0,52.9,0
21,0.2667216190098231,0.2327985208077424,0.5004798601824344,bournemouth,tottenham,3.47,3.89,2.09,28.818443804034583,25.70694087403599,47.84688995215311,102.37227463022369,2,-0.7447598203591363,-0.9441375405788195,0.4600290778128784,Correct_EV_Away_Win,0.4600290778128784,,No Bet,0.0,10.899999999999999,2
22,0.4275974986006712,0.2704437325768559,0.3019587688224727,brentford,crystal palace,2.16,3.37,3.81,46.29629629629629,29.673590504451035,26.246719160104988,102.21660596085232,1,-0.7638940302255008,-0.8860462121599566,1.5046290921362102,Correct_EV_Away_Win,1.5046290921362102,,No Bet,0.0,-10.0,0
23,0.6498863914067515,0.1770698550437067,0.1730437535495418,brighton,west ham,1.5,4.95,6.25,66.66666666666666,20.2020202020202,16.0,102.86868686868686,2,-0.2517041288987274,-1.2350421753365195,0.8152345968463628,Correct_EV_Away_Win,0.8152345968463628,,No Bet,0.0,52.5,0
24,0.3529828019229152,0.3007636951546852,0.3462535029223996,everton,wolves,2.45,3.38,3.14,40.81632653061224,29.585798816568047,31.84713375796178,102.24925910514207,2,-1.351921352888577,0.16581289622835982,0.8723599917633482,Correct_EV_Away_Win,0.8723599917633482,,No Bet,0.0,11.400000000000002,0
25,0.7286172189418457,0.1482107890759385,0.1231719919822158,manchester utd,nott'ham forest,1.38,5.3,8.51,72.46376811594205,18.867924528301888,11.750881316098708,103.08257396034264,0,0.05491762139747047,-2.14482817897526,0.48193651768656487,Correct_EV_Away_Win,0.48193651768656487,,No Bet,0.0,-6.200000000000001,0
26,0.2777248409447346,0.2704720031819023,0.451803155873363,burnley,aston villa,3.24,3.6,2.29,30.864197530864196,27.77777777777778,43.66812227074236,102.31009757938433,2,-1.0017151533905988,-0.26300788545151654,0.34629226950001346,Correct_EV_Away_Win,0.34629226950001346,,No Bet,0.0,12.899999999999999,2
27,0.4413605143984028,0.2427881115987073,0.3158513740028898,newcastle utd,liverpool,2.24,3.93,3.11,44.64285714285714,25.44529262086514,32.154340836012864,102.24249059973513,2,-0.1135244774757771,-0.45842721417080323,-0.17702226851012703,Correct_EV_Home_Win,-0.1135244774757771,,No Bet,0.0,0.0,0
28,0.0275927159646223,0.1939540839016695,0.7784532001337081,sheffield utd,manchester city,16.0,7.4,1.2,6.25,13.513513513513512,83.33333333333334,103.09684684684686,2,-5.585165445660432,4.3526022087235425,-0.6585615983955031,Correct_EV_Draw,4.3526022087235425,,No Bet,0.0,-10.0,2
29,0.2266643097894616,0.2211433556416002,0.5521923345689381,luton town,west ham,4.67,4.09,1.76,21.413276231263385,24.44987775061125,56.81818181818182,102.68133580005644,2,0.5852232671678577,-0.9552367542585518,-0.2814149115866895,Correct_EV_Home_Win,0.5852232671678577,,No Bet,0.0,-10.0,2
