league,season,game,date,home_team,away_team,FTHG,FTAG,FTR,HR,AR,PSCH,PSCD,PSCA,H_Elo,A_Elo
ENG-Premier League,2324,2024-01-30 Fulham-Everton,2024-01-30 19:45:00,Fulham,Everton,0,0,D,0,0,2.23,3.27,3.64,1733.08740234,1704.68493652
ENG-Premier League,2324,2024-01-30 Luton-Brighton,2024-01-30 19:45:00,Luton,Brighton,4,0,H,0,0,4.29,3.99,1.83,,1824.61962891
ENG-Premier League,2324,2024-01-30 Nott'm Forest-Arsenal,2024-01-30 19:30:00,Nott'm Forest,Arsenal,1,2,A,0,0,9.02,5.14,1.38,1670.41308594,1915.81921387
ENG-Premier League,2324,2024-01-31 Liverpool-Chelsea,2024-01-31 20:15:00,Liverpool,Chelsea,4,1,H,0,0,1.66,4.46,4.89,1943.3503418,1784.5447998
ENG-Premier League,2324,2024-01-31 Man City-Burnley,2024-01-31 19:30:00,Man City,Burnley,3,1,H,0,0,1.11,11.5,23.0,2069.97924805,1683.77587891
ENG-Premier League,2324,2024-01-31 Tottenham-Brentford,2024-01-31 19:30:00,Tottenham,Brentford,3,2,H,0,0,1.62,4.56,5.18,1812.32385254,1820.78088379
ENG-Premier League,2324,2024-02-01 West Ham-Bournemouth,2024-02-01 19:30:00,West Ham,Bournemouth,1,1,D,0,0,2.51,3.54,2.89,1768.10974121,1657.08825684
ENG-Premier League,2324,2024-02-01 Wolves-Man United,2024-02-01 20:15:00,Wolves,Man United,3,4,A,0,0,3.01,3.46,2.46,1715.48828125,1870.08166504
ENG-Premier League,2324,2024-02-03 Brighton-Crystal Palace,2024-02-03 15:00:00,Brighton,Crystal Palace,4,1,H,0,0,1.74,3.82,5.23,1824.61962891,1753.84619141
ENG-Premier League,2324,2024-02-03 Burnley-Fulham,2024-02-03 15:00:00,Burnley,Fulham,2,2,D,0,0,2.97,3.28,2.59,1683.77587891,1733.08740234
ENG-Premier League,2324,2024-02-03 Everton-Tottenham,2024-02-03 12:30:00,Everton,Tottenham,2,2,D,0,0,3.1,3.74,2.28,1704.68493652,1812.32385254
ENG-Premier League,2324,2024-02-03 Newcastle-Luton,2024-02-03 15:00:00,Newcastle,Luton,4,4,D,0,0,1.54,4.69,5.92,1872.45019531,
ENG-Premier League,2324,2024-02-03 Sheffield United-Aston Villa,2024-02-03 17:30:00,Sheffield United,Aston Villa,0,5,A,0,0,5.35,4.3,1.64,1623.86804199,1824.44519043
ENG-Premier League,2324,2024-02-04 Arsenal-Liverpool,2024-02-04 16:30:00,Arsenal,Liverpool,3,1,H,0,1,2.2,3.75,3.26,1915.81921387,1943.3503418
ENG-Premier League,2324,2024-02-04 Bournemouth-Nott'm Forest,2024-02-04 14:00:00,Bournemouth,Nott'm Forest,1,1,D,1,0,1.66,4.37,5.01,1657.08825684,1670.41308594
ENG-Premier League,2324,2024-02-04 Chelsea-Wolves,2024-02-04 14:00:00,Chelsea,Wolves,2,4,A,0,0,1.54,4.63,6.02,1784.5447998,1715.48828125
ENG-Premier League,2324,2024-02-04 Man United-West Ham,2024-02-04 14:00:00,Man United,West Ham,3,0,H,0,0,1.56,4.59,5.9,1870.08166504,1768.10974121
ENG-Premier League,2324,2024-02-05 Brentford-Man City,2024-02-05 20:00:00,Brentford,Man City,1,3,A,0,0,7.8,5.4,1.39,1820.78088379,2069.97924805
ENG-Premier League,2324,2024-02-10 Fulham-Bournemouth,2024-02-10 15:00:00,Fulham,Bournemouth,3,1,H,0,0,2.64,3.5,2.76,1733.08740234,1657.08825684
ENG-Premier League,2324,2024-02-10 Liverpool-Burnley,2024-02-10 15:00:00,Liverpool,Burnley,3,1,H,0,0,1.16,9.27,15.41,1943.3503418,1683.77587891
ENG-Premier League,2324,2024-02-10 Luton-Sheffield United,2024-02-10 15:00:00,Luton,Sheffield United,1,3,A,0,0,1.72,4.05,4.96,,1623.86804199
ENG-Premier League,2324,2024-02-10 Man City-Everton,2024-02-10 12:30:00,Man City,Everton,2,0,H,0,0,1.24,6.85,12.25,2069.97924805,1704.68493652
ENG-Premier League,2324,2024-02-10 Nott'm Forest-Newcastle,2024-02-10 17:30:00,Nott'm Forest,Newcastle,2,3,A,0,0,3.32,3.79,2.16,1670.41308594,1872.45019531
ENG-Premier League,2324,2024-02-10 Tottenham-Brighton,2024-02-10 15:00:00,Tottenham,Brighton,2,1,H,0,0,1.72,4.64,4.27,1812.32385254,1824.61962891
ENG-Premier League,2324,2024-02-10 Wolves-Brentford,2024-02-10 15:00:00,Wolves,Brentford,0,2,A,0,0,2.27,3.54,3.28,1715.48828125,1820.78088379
ENG-Premier League,2324,2024-02-11 Aston Villa-Man United,2024-02-11 16:30:00,Aston Villa,Man United,1,2,A,0,0,2.18,3.93,3.18,1824.44519043,1870.08166504
