home_team_elo,away_team_elo,home_xG_to_date,away_xG_to_date,home_xG_against_to_date,away_xG_against_to_date,home_goals_scored_to_date,away_goals_scored_to_date,home_goals_conceded_to_date,away_goals_conceded_to_date,home_points_to_date,away_points_to_date,home_form,away_form,match_result
1861.60559082,1845.23461914,14.2,12.0,8.7,10.8,18,13,5,14,20,13,1.6,1.0,1
1543.99169922,1930.77099609,4.6,15.5,12.7,6.1,4,15,17,3,3,20,0.2,3.0,2
1966.16052246,1649.96081543,20.5,7.4,3.8,12.7,21,10,3,12,20,8,3.0,1.4,0
1632.8416748,1628.98706055,5.9,9.0,11.5,13.8,6,9,13,13,2,8,1.4,0.6,2
1664.25720215,1890.48962402,9.1,13.7,12.9,9.5,8,15,13,7,7,18,1.4,1.2,2
1633.91796875,1637.17285156,10.0,10.8,7.0,10.7,9,11,6,12,15,13,2.0,0.8,2
1689.46643066,1652.66491699,9.7,8.2,8.700000000000001,10.8,13,5,12,9,12,7,2.0,2.0,0
1838.27355957,1692.71472168,10.7,9.8,10.8,8.8,19,14,10,12,18,12,0.8,1.4,0
1641.92553711,1623.81054688,9.8,10.7,15.6,8.1,10,9,13,8,11,15,0.6,2.0,0
1596.07714844,1692.32751465,9.9,15.8,19.3,10.6,11,16,25,12,5,17,1.8,1.4,2
1691.34777832,1663.54956055,10.3,9.9,11.5,13.8,15,8,15,14,12,7,1.4,1.4,1
1938.60510254,1559.3807373,16.1,9.4,6.8,13.8,16,8,3,19,23,5,3.0,0.6,0
1630.11450195,1626.43200684,11.2,7.7,14.4,12.3,6,6,14,14,6,2,1.0,1.4,1
1653.80908203,1545.50097656,11.9,5.3,11.4,13.3,13,4,12,18,16,3,0.8,0.2,0
1650.12390137,1863.87609863,7.8,16.0,16.7,9.5,10,20,17,7,8,21,1.4,1.6,2
1647.82373047,1853.06958008,9.5,13.4,12.6,11.3,5,22,11,11,7,21,2.0,0.8,1
1843.42260742,1700.83654785,12.8,11.5,12.6,10.0,15,15,16,12,14,15,1.0,2.0,0
1895.11303711,1981.5144043,14.6,24.5,10.3,4.2,16,26,7,3,21,23,1.2,3.0,2
1849.14147949,1940.20043945,14.3,18.5,13.6,7.6,24,20,13,4,22,26,0.8,3.0,1
1704.27050781,1846.91186523,17.8,15.1,11.1,14.4,19,17,12,17,20,17,1.4,1.0,2
1557.78540039,1688.85229492,10.2,12.0,16.2,12.9,9,16,23,16,5,13,0.6,1.4,2
1697.34716797,1648.11474609,13.3,10.7,12.3,17.0,16,11,14,13,15,14,2.0,0.6,0
1628.26623535,1661.01123047,8.1,13.9,13.4,11.9,6,16,14,12,3,19,1.4,0.8,0
1666.04504395,1641.27185059,11.3,8.200000000000001,15.5,19.3,9,10,15,21,8,8,1.4,1.4,0
1617.62145996,1887.91430664,12.1,15.0,9.0,11.9,9,16,9,8,15,21,2.0,1.2,2
1872.72802734,1651.75183105,18.6,11.8,9.9,13.5,24,7,7,13,24,8,1.6,2.0,0
1988.71313477,1628.28039551,26.1,12.3,4.6,14.8,27,6,3,14,26,7,3.0,1.0,0
1538.29882812,1584.13415527,5.8,10.4,15.3,21.3,4,11,21,28,3,5,0.2,1.8,0
1551.46789551,1640.2989502,11.1,11.2,18.3,19.0,9,12,24,16,5,14,0.6,0.6,0
1648.41015625,1893.38867188,12.2,16.4,15.2,14.6,8,19,16,10,8,24,2.0,1.2,2
1545.76171875,1674.35888672,6.4,13.7,15.7,16.6,5,13,21,17,6,11,0.2,1.4,1
1694.84667969,1632.6348877,14.1,9.3,13.8,21.7,17,12,16,25,16,8,1.4,1.4,1
1635.48388672,1698.24353027,8.6,19.4,15.4,14.1,7,20,14,14,6,20,1.4,1.4,0
1625.82458496,1653.47045898,14.3,15.9,17.0,12.4,7,16,20,13,7,19,1.0,0.8,1
1843.78161621,1614.1184082,15.7,14.8,14.9,10.4,25,11,14,12,23,15,0.8,2.0,1
1878.13012695,1704.83972168,20.3,15.3,10.3,12.8,27,19,8,15,27,18,1.6,2.0,1
1921.61437988,1576.34802246,19.8,10.8,9.0,21.9,21,11,5,29,27,5,3.0,1.8,0
1995.2520752,1866.71069336,28.3,18.1,6.6,16.0,33,19,4,18,29,20,3.0,1.0,0
1631.3996582,1691.34509277,11.7,15.9,21.1,14.2,13,17,18,16,14,17,0.6,1.4,1
1710.78759766,1560.3671875,15.6,13.2,14.0,18.8,19,11,15,25,19,8,2.0,0.6,0
1574.84228516,1624.75866699,11.3,15.4,23.7,18.2,11,8,31,21,5,8,1.8,1.0,0
1861.59301758,1644.60449219,19.2,13.0,17.9,16.4,20,8,21,17,20,8,1.0,2.0,1
1897.19433594,1872.18225098,17.6,21.5,15.4,10.6,20,27,10,8,27,28,1.2,1.6,0
1654.53625488,1923.12011719,17.1,21.6,13.5,9.5,17,23,14,5,20,30,0.8,3.0,2
1672.5435791,2000.36987305,15.4,30.200000000000003,17.7,7.7,14,36,18,5,12,32,1.4,3.0,2
1690.20666504,1836.88513184,21.0,16.6,16.3,16.8,21,26,16,15,20,24,1.4,0.8,2
1621.01501465,1547.57714844,16.7,7.5,11.3,17.400000000000002,12,6,13,22,16,7,2.0,0.2,2
1636.13635254,1643.52062988,9.7,10.8,23.5,17.0,12,9,25,15,9,9,1.4,1.4,2
1558.00402832,1605.4173584,14.2,17.5,20.9,12.0,11,12,26,15,8,16,0.6,2.0,0
1652.20874023,1627.46630859,14.2,11.5,17.3,25.1,8,13,17,27,9,9,2.0,1.4,0
1565.00915527,1632.20361328,8.2,12.7,18.2,22.3,8,14,22,19,10,15,0.2,0.6,2
1692.37548828,1649.64807129,17.1,17.5,15.2,14.7,18,17,17,17,18,20,1.4,0.8,0
2001.50280762,1685.55383301,32.9,21.6,8.6,17.9,40,22,5,18,35,20,3.0,1.4,0
1654.02514648,1668.66174316,12.4,16.3,18.8,20.4,11,14,16,22,12,12,1.4,1.4,2
1617.95922852,1858.05932617,16.7,20.1,19.5,19.1,10,20,24,21,8,21,1.0,1.0,1
1847.61828613,1909.84069824,18.2,20.7,17.4,16.400000000000002,28,23,16,11,27,30,0.8,1.2,0
1868.63500977,1583.47607422,22.5,12.6,13.7,25.0,28,14,11,33,28,8,1.6,1.8,0
1923.57397461,1714.98522949,22.8,17.7,9.9,15.0,26,20,5,15,33,22,3.0,2.0,0
1683.71179199,1557.0267334,22.2,8.8,20.5,19.4,23,9,21,24,20,10,1.4,0.2,0
1640.18603516,1660.8145752,13.9,15.8,22.9,18.0,16,10,20,17,18,12,0.6,2.0,0
