season,game,week,day,date,time,home_team,home_xg,score,away_xg,away_team,referee,game_id,home_team_elo,away_team_elo,home_starters,away_starters,home_team_strength,away_team_strength
1920,2019-09-21 Manchester City-Watford,6,Sat,2019-09-21,15:00,manchester city,5.9,8–0,0.4,watford,Mike Dean,4672d0d7,2033.51879883,1657.83178711,"['Ederson', 'Kyle Walker', 'Sergio Agüero', 'Rodri', 'Kevin De Bruyne', 'Bernardo Silva', 'David Silva', 'Benjamin Mendy', 'Fernandinho', 'Riyad Mahrez', 'Nicolás Otamendi']","['Ben Foster', 'Craig Dawson', 'Adrian Mariappa', 'Gerard Deulofeu', 'Tom Cleverley', 'Abdoulaye Doucouré', 'Will Hughes', 'Kiko Femenía', 'José Holebas', 'Étienne Capoue', 'Dimitri Foulquier']",1.4779999999999998,0.063
1920,2019-09-22 Arsenal-Aston Villa,6,Sun,2019-09-22,16:30,arsenal,2.4,3–2,1.5,aston villa,Jonathan Moss,d5fa0563,1878.61181641,1616.08642578,"['Bernd Leno', 'Sokratis Papastathopoulos', 'Dani Ceballos', 'Pierre-Emerick Aubameyang', 'Ainsley Maitland-Niles', 'Nicolas Pépé', 'David Luiz', 'Mattéo Guendouzi', 'Sead Kolašinac', 'Granit Xhaka', 'Bukayo Saka']","['Tom Heaton', 'Neil Taylor', 'John McGinn', 'Wesley Moraes', 'Jack Grealish', 'Marvelous Nakamba', 'Trézéguet', 'Anwar El Ghazi', 'Björn Engels', 'Frederic Guilbert', 'Tyrone Mings']",0.6570000000000001,-0.118
1920,2019-09-22 Chelsea-Liverpool,6,Sun,2019-09-22,16:30,chelsea,1.3,1–2,0.6,liverpool,Michael Oliver,02e3ae79,1859.19213867,2041.2199707,"['Kepa Arrizabalaga', 'Andreas Christensen', 'Jorginho', ""N'Golo Kanté"", 'Tammy Abraham', 'Willian', 'Mateo Kovačić', 'Mason Mount', 'César Azpilicueta', 'Fikayo Tomori', 'Emerson Palmieri']","['Adrián', 'Fabinho', 'Virgil van Dijk', 'Georginio Wijnaldum', 'Roberto Firmino', 'Sadio Mané', 'Mohamed Salah', 'Jordan Henderson', 'Andrew Robertson', 'Joël Matip', 'Trent Alexander-Arnold']",0.47000000000000003,1.068
1920,2019-09-28 Aston Villa-Burnley,7,Sat,2019-09-28,15:00,aston villa,1.0,2–2,1.5,burnley,Lee Mason,37a51188,1614.28503418,1697.10217285,"['Tom Heaton', 'John McGinn', 'Wesley Moraes', 'Jack Grealish', 'Marvelous Nakamba', 'Conor Hourihane', 'Matt Targett', 'Anwar El Ghazi', 'Björn Engels', 'Frederic Guilbert', 'Tyrone Mings']","['Nick Pope', 'Matthew Lowton', 'Jack Cork', 'James Tarkowski', 'Ben Mee', 'Chris Wood', 'Ashley Barnes', 'Dwight McNeil', 'Jeff Hendrick', 'Ashley Westwood', 'Erik Pieters']",-0.09,0.011999999999999997
1920,2019-09-28 Crystal Palace-Norwich City,7,Sat,2019-09-28,15:00,crystal palace,1.5,2–0,0.7,norwich city,Jonathan Moss,3b180c0d,1739.09228516,1639.80847168,"['Vicente Guaita', 'Joel Ward', 'Patrick van Aanholt', 'Luka Milivojević', 'Cheikhou Kouyaté', 'Jordan Ayew', 'Wilfried Zaha', 'Jeffrey Schlupp', 'James McArthur', 'Gary Cahill', 'Martin Kelly']","['Ralf Fährmann', 'Max Aarons', 'Ben Godfrey', 'Moritz Leitner', 'Jamal Lewis', 'Todd Cantwell', 'Emi Buendía', 'Marco Stiepermann', 'Teemu Pukki', 'Kenny McLean', 'Ibrahim Amadou']",0.132,0.009000000000000001
1920,2019-09-28 Everton-Manchester City,7,Sat,2019-09-28,17:30,everton,2.4,1–3,2.8,manchester city,Michael Oliver,1b9f4fc3,1736.07287598,2036.09838867,"['Jordan Pickford', 'Michael Keane', 'Richarlison', 'Fabian Delph', 'Dominic Calvert-Lewin', 'Gylfi Sigurðsson', 'Theo Walcott', 'Lucas Digne', 'Yerry Mina', 'Morgan Schneiderlin', 'Séamus Coleman']","['Ederson', 'Kyle Walker', 'Raheem Sterling', 'İlkay Gündoğan', 'Gabriel Jesus', 'Oleksandr Zinchenko', 'Rodri', 'Kevin De Bruyne', 'Fernandinho', 'Riyad Mahrez', 'Nicolás Otamendi']",0.37800000000000006,1.4699999999999998
1920,2019-10-05 Burnley-Everton,8,Sat,2019-10-05,15:00,burnley,0.6,1–0,1.3,everton,Graham Scott,2f9439d0,1694.89123535,1730.64294434,"['Nick Pope', 'Matthew Lowton', 'James Tarkowski', 'Ben Mee', 'Jóhann Berg Guðmundsson', 'Chris Wood', 'Ashley Barnes', 'Dwight McNeil', 'Jeff Hendrick', 'Ashley Westwood', 'Erik Pieters']","['Jordan Pickford', 'Michael Keane', 'Richarlison', 'Fabian Delph', 'Dominic Calvert-Lewin', 'Gylfi Sigurðsson', 'Lucas Digne', 'Yerry Mina', 'Alex Iwobi', 'Morgan Schneiderlin', 'Séamus Coleman']",0.03,0.46199999999999997
1920,2019-10-05 Liverpool-Leicester City,8,Sat,2019-10-05,15:00,liverpool,3.5,2–1,0.1,leicester city,Chris Kavanagh,aaed1c4e,2047.96130371,1771.94616699,"['Adrián', 'Fabinho', 'Virgil van Dijk', 'Georginio Wijnaldum', 'Dejan Lovren', 'James Milner', 'Roberto Firmino', 'Sadio Mané', 'Mohamed Salah', 'Andrew Robertson', 'Trent Alexander-Arnold']","['Kasper Schmeichel', 'Ben Chilwell', 'Çağlar Söyüncü', 'Jonny Evans', 'Youri Tielemans', 'Jamie Vardy', 'James Maddison', 'Harvey Barnes', 'Ricardo Pereira', 'Wilfred Ndidi', 'Dennis Praet']",1.057,0.401
1920,2019-10-05 Norwich City-Aston Villa,8,Sat,2019-10-05,15:00,norwich city,2.6,1–5,3.0,aston villa,Andy Madley,e50b8e5b,1632.28063965,1613.44152832,"['Michael McGovern', 'Max Aarons', 'Ben Godfrey', 'Moritz Leitner', 'Jamal Lewis', 'Todd Cantwell', 'Emi Buendía', 'Marco Stiepermann', 'Teemu Pukki', 'Kenny McLean', 'Ibrahim Amadou']","['Tom Heaton', 'John McGinn', 'Wesley Moraes', 'Jack Grealish', 'Marvelous Nakamba', 'Conor Hourihane', 'Matt Targett', 'Anwar El Ghazi', 'Björn Engels', 'Frederic Guilbert', 'Tyrone Mings']",0.021,-0.09
1920,2019-10-06 Arsenal-Bournemouth,8,Sun,2019-10-06,14:00,arsenal,1.2,1–0,0.6,bournemouth,Martin Atkinson,9575566f,1882.16320801,1707.86010742,"['Bernd Leno', 'Sokratis Papastathopoulos', 'Dani Ceballos', 'Pierre-Emerick Aubameyang', 'Nicolas Pépé', 'Calum Chambers', 'David Luiz', 'Mattéo Guendouzi', 'Sead Kolašinac', 'Granit Xhaka', 'Bukayo Saka']","['Aaron Ramsdale', 'Steve Cook', 'Nathan Aké', 'Joshua King', 'Jefferson Lerma', 'Dominic Solanke', 'Callum Wilson', 'Jack Stacey', 'Diego Rico', 'Harry Wilson', 'Philip Billing']",0.6320000000000001,0.193
