match,bookmaker,outcome,odds
Newcastle United vs Southampton,BetRivers,Draw,5.8
Newcastle United vs Southampton,DraftKings,Newcastle United,1.32
Newcastle United vs Southampton,DraftKings,Southampton,8.0
Newcastle United vs Southampton,DraftKings,Draw,5.75
Newcastle United vs Southampton,FanDuel,Newcastle United,1.32
Newcastle United vs Southampton,FanDuel,Southampton,8.0
Newcastle United vs Southampton,FanDuel,Draw,5.7
Newcastle United vs Southampton,Caesars,Newcastle United,1.31
Newcastle United vs Southampton,Caesars,Southampton,9.0
Newcastle United vs Southampton,Caesars,Draw,5.25
Newcastle United vs Southampton,BetOnline.ag,Newcastle United,1.35
Newcastle United vs Southampton,BetOnline.ag,Southampton,8.38
Newcastle United vs Southampton,BetOnline.ag,Draw,5.67
Newcastle United vs Southampton,LowVig.ag,Newcastle United,1.35
Newcastle United vs Southampton,LowVig.ag,Southampton,8.38
Newcastle United vs Southampton,LowVig.ag,Draw,5.67
Newcastle United vs Southampton,BetUS,Newcastle United,1.33
Newcastle United vs Southampton,BetUS,Southampton,8.0
Newcastle United vs Southampton,BetUS,Draw,5.75
Newcastle United vs Southampton,Bovada,Newcastle United,1.33
Newcastle United vs Southampton,Bovada,Southampton,8.0
Newcastle United vs Southampton,Bovada,Draw,5.75
West Ham United vs Aston Villa,BetRivers,Aston Villa,2.75
West Ham United vs Aston Villa,BetRivers,West Ham United,2.38
West Ham United vs Aston Villa,BetRivers,Draw,3.7
West Ham United vs Aston Villa,DraftKings,Aston Villa,2.75
West Ham United vs Aston Villa,DraftKings,West Ham United,2.45
West Ham United vs Aston Villa,DraftKings,Draw,3.65
West Ham United vs Aston Villa,BetMGM,Aston Villa,2.7
West Ham United vs Aston Villa,BetMGM,West Ham United,2.45
West Ham United vs Aston Villa,BetMGM,Draw,3.6
West Ham United vs Aston Villa,FanDuel,Aston Villa,2.75
West Ham United vs Aston Villa,FanDuel,West Ham United,2.4
West Ham United vs Aston Villa,FanDuel,Draw,3.6
West Ham United vs Aston Villa,Caesars,Aston Villa,2.65
West Ham United vs Aston Villa,Caesars,West Ham United,2.4
West Ham United vs Aston Villa,Caesars,Draw,3.7
West Ham United vs Aston Villa,BetOnline.ag,Aston Villa,2.8
West Ham United vs Aston Villa,BetOnline.ag,West Ham United,2.45
West Ham United vs Aston Villa,BetOnline.ag,Draw,3.7
West Ham United vs Aston Villa,LowVig.ag,Aston Villa,2.8
West Ham United vs Aston Villa,LowVig.ag,West Ham United,2.45
West Ham United vs Aston Villa,LowVig.ag,Draw,3.7
West Ham United vs Aston Villa,BetUS,Aston Villa,2.7
West Ham United vs Aston Villa,BetUS,West Ham United,2.4
West Ham United vs Aston Villa,BetUS,Draw,3.68
West Ham United vs Aston Villa,Bovada,Aston Villa,2.7
West Ham United vs Aston Villa,Bovada,West Ham United,2.45
West Ham United vs Aston Villa,Bovada,Draw,3.65
Brentford vs Crystal Palace,BetRivers,Brentford,2.43
Brentford vs Crystal Palace,BetRivers,Crystal Palace,2.88
Brentford vs Crystal Palace,BetRivers,Draw,3.4
Brentford vs Crystal Palace,DraftKings,Brentford,2.45
Brentford vs Crystal Palace,DraftKings,Crystal Palace,2.95
Brentford vs Crystal Palace,DraftKings,Draw,3.4
Brentford vs Crystal Palace,BetMGM,Brentford,2.4
Brentford vs Crystal Palace,BetMGM,Crystal Palace,2.85
Brentford vs Crystal Palace,BetMGM,Draw,3.4
Brentford vs Crystal Palace,FanDuel,Brentford,2.4
Brentford vs Crystal Palace,FanDuel,Crystal Palace,2.95
Brentford vs Crystal Palace,FanDuel,Draw,3.4
Brentford vs Crystal Palace,Caesars,Brentford,2.35
Brentford vs Crystal Palace,Caesars,Crystal Palace,2.9
Brentford vs Crystal Palace,Caesars,Draw,3.4
Brentford vs Crystal Palace,BetOnline.ag,Brentford,2.5
Brentford vs Crystal Palace,BetOnline.ag,Crystal Palace,2.9
Brentford vs Crystal Palace,BetOnline.ag,Draw,3.45
Brentford vs Crystal Palace,LowVig.ag,Brentford,2.5
Brentford vs Crystal Palace,LowVig.ag,Crystal Palace,2.9
Brentford vs Crystal Palace,LowVig.ag,Draw,3.45
Brentford vs Crystal Palace,BetUS,Brentford,2.4
Brentford vs Crystal Palace,BetUS,Crystal Palace,2.95
Brentford vs Crystal Palace,BetUS,Draw,3.35
Brentford vs Crystal Palace,Bovada,Brentford,2.4
Brentford vs Crystal Palace,Bovada,Crystal Palace,2.95
Brentford vs Crystal Palace,Bovada,Draw,3.35
Chelsea vs Manchester City,BetRivers,Chelsea,3.95
Chelsea vs Manchester City,BetRivers,Manchester City,1.85
Chelsea vs Manchester City,BetRivers,Draw,3.8
Chelsea vs Manchester City,DraftKings,Chelsea,3.95
Chelsea vs Manchester City,DraftKings,Manchester City,1.87
Chelsea vs Manchester City,DraftKings,Draw,3.9
Chelsea vs Manchester City,BetMGM,Chelsea,3.9
Chelsea vs Manchester City,BetMGM,Manchester City,1.83
Chelsea vs Manchester City,BetMGM,Draw,4.0
Chelsea vs Manchester City,FanDuel,Chelsea,3.9
Chelsea vs Manchester City,FanDuel,Manchester City,1.87
Chelsea vs Manchester City,FanDuel,Draw,3.9
Chelsea vs Manchester City,Caesars,Chelsea,4.0
Chelsea vs Manchester City,Caesars,Manchester City,1.8
Chelsea vs Manchester City,Caesars,Draw,4.0
Chelsea vs Manchester City,BetOnline.ag,Chelsea,4.05
Chelsea vs Manchester City,BetOnline.ag,Manchester City,1.88
Chelsea vs Manchester City,BetOnline.ag,Draw,3.9
Chelsea vs Manchester City,LowVig.ag,Chelsea,4.05
Chelsea vs Manchester City,LowVig.ag,Manchester City,1.88
Chelsea vs Manchester City,LowVig.ag,Draw,3.9
Chelsea vs Manchester City,BetUS,Chelsea,3.85
Chelsea vs Manchester City,BetUS,Manchester City,1.87
Chelsea vs Manchester City,BetUS,Draw,3.95
Chelsea vs Manchester City,Bovada,Chelsea,3.85
Chelsea vs Manchester City,Bovada,Manchester City,1.87
Chelsea vs Manchester City,Bovada,Draw,3.95
Leicester City vs Tottenham Hotspur,BetRivers,Leicester City,5.25
Leicester City vs Tottenham Hotspur,BetRivers,Tottenham Hotspur,1.56
Leicester City vs Tottenham Hotspur,BetRivers,Draw,4.5
Leicester City vs Tottenham Hotspur,DraftKings,Leicester City,5.25
Leicester City vs Tottenham Hotspur,DraftKings,Tottenham Hotspur,1.57
Leicester City vs Tottenham Hotspur,DraftKings,Draw,4.4
Leicester City vs Tottenham Hotspur,BetMGM,Leicester City,4.8
Leicester City vs Tottenham Hotspur,BetMGM,Tottenham Hotspur,1.62
Leicester City vs Tottenham Hotspur,BetMGM,Draw,4.2
Leicester City vs Tottenham Hotspur,FanDuel,Leicester City,5.5
