Player,MBAPPE,O-MBAPPE,D-MBAPPE,eLPA,Born,Age,Competition,Team,Nation,Primary Position,Secondary Positions,SCA%,PRG%,TO%,FIN%,INT%,TKL%,SP%,AER%,USG%,DENY%
Marcel Hartel,-0.025,-0.027,0.002,2.02,1996,24.0,Bundesliga,Arminia Bielefeld,Germany,CM,"AM, DM",11.0,10.9,9.2,-8.8,1.7,1.3,1.9,44.0,3.6,0.0
Marcel Heister,-0.017,-0.019,0.003,0.0,1992,28.0,UCL,Ferencváros,Germany,LB,,8.4,9.5,9.5,-3.6,1.6,1.3,0.9,46.7,3.5,0.0
Marcel Ritzmaier,0.01,0.015,-0.005,0.0,1993,27.0,UEL,Rapid Wien,Austria,CM,,10.9,9.7,9.0,-2.5,1.6,1.3,1.6,47.4,4.4,0.0
Marcel Sabitzer,0.039,0.038,0.001,3.4,1994,26.0,"Bundesliga, UCL, Euros","RB Leipzig, Austria",Austria,CM,"AM, DM, LM",12.6,12.4,10.1,-8.1,1.8,1.1,1.2,49.4,5.4,0.0
Marcello Trotta,-0.055,-0.051,-0.004,0.26,1992,27.0,Primeira Liga,Famalicão,Italy,ST,,10.1,8.4,8.5,-3.6,1.2,1.1,0.9,41.5,4.0,0.0
Marcelo,0.087,0.029,0.058,5.94,1987,33.0,Ligue 1,Lyon,Brazil,CB,,5.4,7.4,7.4,2.8,1.9,1.2,0.5,67.4,2.4,0.0
Marcelo Brozović,0.089,0.06,0.028,5.34,1992,27.0,"UCL, Euros, Serie A","Inter Milan, Croatia",Croatia,CM,DM,10.8,13.1,10.4,1.0,1.8,1.4,3.7,42.6,4.4,0.0
Marcelo Hermes,-0.079,-0.053,-0.026,1.67,1995,25.0,Primeira Liga,Marítimo,Brazil,LB,"LM, CM, WB",9.1,10.0,12.1,-1.0,1.8,1.6,3.0,41.4,3.3,0.0
Marcelo,0.062,0.058,0.004,1.95,1988,32.0,"La Liga, UCL",Real Madrid,Brazil,LB,"LM, WB",12.6,11.9,11.7,-5.5,1.3,1.9,1.0,39.2,4.6,0.0
Marcelo dos Santos Ferreira,-0.043,-0.041,-0.002,2.42,1989,31.0,Primeira Liga,Paços de Ferreira,Brazil,CB,,5.7,7.2,8.0,-10.1,1.9,1.4,0.4,57.4,2.5,0.0
Marcin Kamiński,0.026,0.022,0.004,0.34,1992,28.0,Bundesliga,Stuttgart,Poland,CB,,10.7,12.1,9.1,-3.1,1.3,1.1,1.0,52.0,3.5,0.0
Marco André Rocha Pereira,-0.039,-0.028,-0.011,3.23,1987,33.0,Primeira Liga,Santa Clara,Portugal,GK,,3.5,3.1,9.7,-3.1,0.5,0.3,0.3,54.9,1.3,0.0
Marco Asensio,0.059,0.052,0.007,3.43,1996,24.0,"La Liga, UCL",Real Madrid,Spain,RW,"AM, LW",11.7,10.2,10.4,-1.2,1.0,0.8,2.1,47.5,5.4,0.0
Marco Baixinho,-0.026,-0.032,0.006,2.18,1989,31.0,Primeira Liga,Paços de Ferreira,Portugal,CB,,6.4,7.0,7.8,-12.2,2.3,1.1,0.4,52.5,2.1,0.0
Marco Bizot,-0.06,-0.055,-0.005,2.76,1991,29.0,"Eredivisie, UEL",AZ Alkmaar,Netherlands,GK,,2.2,2.0,8.1,-3.1,0.4,0.3,0.3,63.0,1.0,-0.6
Marco Friedl,-0.04,-0.024,-0.016,3.0,1998,22.0,Bundesliga,Werder Bremen,Austria,CB,"LB, WB",6.7,10.4,8.9,-5.1,2.2,1.4,0.7,52.2,2.5,0.0
Marco Ilaimaharitra,-0.043,-0.042,-0.001,2.03,1995,25.0,Belgian Pro League,Charleroi,Madagascar,DM,CM,9.6,12.0,9.3,-8.8,1.6,1.4,1.9,59.3,3.6,0.0
Marco John,-0.004,0.016,-0.02,1.35,2002,18.0,"Bundesliga, UEL",Hoffenheim,Germany,WB,LB,9.5,9.1,9.3,-4.1,1.5,1.4,0.7,37.5,3.4,0.0
Marco Kana,-0.028,-0.032,0.004,0.41,2002,17.0,Belgian Pro League,Anderlecht,Belgium,CM,LM,8.7,9.9,9.4,-3.6,1.7,1.2,0.9,42.0,3.3,0.0
Marco Matias,-0.034,-0.029,-0.005,0.29,1989,31.0,Primeira Liga,Nacional,Portugal,LW,"LM, RM",10.7,10.6,9.5,-5.5,1.4,1.3,0.9,44.6,4.1,0.0
Marco Parolo,0.013,0.025,-0.012,0.98,1985,35.0,"UCL, Serie A",Lazio,Italy,CM,"CB, WB",7.9,8.5,8.5,-0.5,1.9,1.3,0.7,51.2,3.2,0.0
Marco Rente,-0.089,-0.07,-0.019,1.25,1997,23.0,Eredivisie,Heracles Almelo,Germany,CB,,6.6,8.6,8.7,-5.5,2.8,1.2,0.5,51.0,2.1,0.0
Marco Reus,0.089,0.074,0.015,4.71,1989,31.0,"Bundesliga, UCL",Borussia Dortmund,Germany,AM,"RW, LW, ST, LM, CM",14.2,9.3,9.3,-1.4,1.0,1.0,3.2,42.8,5.5,0.0
Marco Richter,0.006,0.003,0.003,2.03,1997,22.0,Bundesliga,Augsburg,Germany,AM,"RW, LW, ST, LM, RM, CM",16.2,9.8,11.4,-11.0,0.9,0.9,1.5,36.5,6.0,0.0
Marco Sau,-0.006,-0.006,-0.0,1.05,1987,32.0,Serie A,Benevento,Italy,AM,"LW, ST",12.4,8.8,10.3,3.8,1.3,0.9,2.9,36.1,4.9,0.0
Marco Silvestri,-0.037,-0.015,-0.022,3.37,1991,29.0,Serie A,Hellas Verona,Italy,GK,,2.9,2.6,10.4,-3.1,0.4,0.3,0.4,54.3,1.1,5.7
Marco Sportiello,0.037,0.007,0.031,2.1,1992,28.0,"UCL, Serie A",Atalanta,Italy,GK,,3.1,3.1,5.7,-3.1,0.6,0.5,0.5,54.7,1.5,8.3
Marco Verratti,0.079,0.062,0.017,2.97,1992,27.0,"Euros, Ligue 1, UCL","Paris Saint-Germain, Italy",Italy,CM,"AM, DM, RM, LM",15.1,14.6,10.4,-12.2,1.8,2.1,0.8,50.0,5.8,0.0
Marco van Ginkel,-0.052,-0.051,-0.001,0.36,1992,27.0,"Eredivisie, UEL",PSV,Netherlands,AM,"DM, ST, LM, CM",10.2,11.2,9.3,0.5,1.3,1.4,0.9,53.9,3.9,0.0
Marcos Acuña,0.099,0.041,0.058,4.97,1991,28.0,"Copa America, La Liga, UCL","Argentina, Sevilla",Argentina,LB,LM,11.1,11.4,12.4,-3.9,1.4,2.0,2.2,43.6,4.4,0.0
Marcos Alonso,0.071,0.06,0.011,1.85,1990,29.0,"Premier League, UCL",Chelsea,Spain,WB,"LB, LM",12.0,8.8,9.7,-2.4,1.4,0.8,2.2,55.8,4.8,0.0
Marcos André,-0.002,-0.002,-0.0,1.61,1996,23.0,La Liga,Valladolid,Brazil,ST,"AM, LM",10.6,8.2,8.7,-6.2,0.9,0.7,0.6,36.3,4.6,0.0
Marcos Antônio,-0.011,-0.006,-0.005,0.0,2000,20.0,UCL,Shakhtar Donetsk,Brazil,CM,"LM, RM",9.2,10.8,9.7,-3.1,1.4,1.2,0.9,47.7,3.4,0.0
Marcos Llorente,0.071,0.04,0.032,5.67,1995,25.0,"Euros, La Liga, UCL","Atlético Madrid, Spain",Spain,CM,"AM, RW, ST, RM, WB",13.8,10.8,8.7,33.6,1.4,1.6,0.3,40.3,4.7,0.0
Marcos López,-0.023,-0.009,-0.014,0.0,1999,21.0,Copa America,Peru,Peru,LB,,9.4,8.6,8.9,-3.1,1.6,1.1,0.9,52.3,3.5,0.0
Marcos Mauro López Gutiérrez,-0.006,-0.007,0.001,2.46,1991,29.0,La Liga,Cádiz,Argentina,CB,,5.7,5.7,5.7,-0.5,1.5,1.1,0.4,55.3,1.9,0.0
